created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2024-05-20T17:12:16+05:30,1,11302,42.69,932.36517,900,165,38,17.57045,78.43689,,,,
2024-05-20T17:12:45+05:30,2,10348,42.53,932.36517,1223,235,38,17.57045,78.43689,,,,
2024-05-20T17:13:01+05:30,3,11349,42.53,932.36517,1084,205,39,17.57045,78.43689,,,,
2024-05-20T17:13:16+05:30,4,10416,42.74,932.40417,1173,225,38,17.57045,78.43689,,,,
2024-05-20T17:13:31+05:30,5,10804,43.09,932.3808,1186,228,38,17.57045,78.43689,,,,
2024-05-20T17:14:00+05:30,6,10751,43.11,932.36517,1058,200,37,17.57045,78.43689,,,,
2024-05-20T17:14:15+05:30,7,10751,43.3,932.36517,1221,235,37,17.57045,78.43689,,,,
2024-05-20T17:14:30+05:30,8,11053,42.09,932.3418,1050,198,37,17.57045,78.43689,,,,
2024-05-20T17:14:45+05:30,9,12055,41.24,932.31836,751,133,37,17.57045,78.43689,,,,
2024-05-20T17:15:01+05:30,10,12921,40.46,932.31836,567,61,39,17.57045,78.43689,,,,
2024-05-20T17:36:14+05:30,11,14328,35.17,932.06879,605,62,51,17.57049,78.43689,,,,
2024-05-22T14:23:30+05:30,12,14661,38.83,935.21997,500,25,41,17.56416,78.43068,,,,
2024-05-22T14:24:29+05:30,13,16698,37.51,934.93915,500,25,32,17.56416,78.43064,,,,
2024-05-22T14:24:46+05:30,14,16698,37.22,934.7052,500,25,32,17.56326,78.4308,,,,
2024-05-22T14:33:10+05:30,15,17617,31.6,936.93597,500,25,34,17.533,78.43539,,,,
2024-05-22T14:33:25+05:30,16,19617,32.43,936.9516,500,25,30,17.533,78.43539,,,,
2024-05-22T14:33:41+05:30,17,19109,33.56,936.99835,500,25,38,17.533,78.43539,,,,
2024-05-22T14:33:57+05:30,18,17631,35.53,937.01398,500,25,41,17.53732,78.43487,,,,
2024-05-22T14:45:23+05:30,19,19565,33.99,939.24475,480,13,33,17.50602,78.45005,,,,
2024-05-22T14:45:52+05:30,20,18152,37.77,939.24475,461,3,44,17.50251,78.44979,,,,
2024-05-22T14:46:07+05:30,21,16611,38.62,939.32275,500,25,46,17.50251,78.44979,,,,
2024-05-22T14:46:22+05:30,22,15769,39.39,939.36176,504,27,42,17.50602,78.45006,,,,
2024-05-22T14:46:37+05:30,23,14958,39.83,939.33838,504,27,39,17.50602,78.45006,,,,
2024-05-22T14:46:52+05:30,24,14403,40.47,939.37738,508,30,42,17.50602,78.45006,,,,
2024-05-22T14:47:08+05:30,25,14403,40.96,939.37738,508,30,42,17.50602,78.45006,,,,
2024-05-22T14:48:53+05:30,26,18501,38.05,939.68939,400,0,26,17.50019,78.45128,,,,
2024-05-22T14:49:08+05:30,27,15894,39.77,939.72839,543,49,40,17.50019,78.45128,,,,
2024-05-22T14:49:24+05:30,28,13448,41.17,939.82977,1113,222,36,17.49754,78.45193,,,,
2024-05-22T14:57:39+05:30,29,19514,38.85,940.62537,655,114,27,17.46955,78.44603,,,,
2024-05-22T14:58:08+05:30,30,16661,41.62,941.33514,660,116,35,17.46768,78.44632,,,,
2024-05-22T14:58:24+05:30,31,14245,43.4,941.47559,893,172,37,17.46762,78.44634,,,,
2024-05-22T15:02:57+05:30,32,8611,37.18,941.42096,2540,376,39,17.46148,78.44946,,,,
2024-05-22T15:03:26+05:30,33,10309,42.02,941.24158,3864,500,40,17.46018,78.44954,,,,
2024-05-22T15:03:41+05:30,34,10814,42.66,941.28058,3219,460,37,17.4594,78.44971,,,,
2024-05-22T15:03:56+05:30,35,10101,42.58,941.2572,2858,399,36,17.4594,78.44971,,,,
2024-05-22T15:04:11+05:30,36,10943,42.7,941.1792,2309,314,34,17.45848,78.45017,,,,
2024-05-22T15:04:26+05:30,37,12982,42.43,941.00757,2756,339,34,17.45746,78.45068,,,,
2024-05-22T15:04:41+05:30,38,12982,41.8,940.85156,2576,339,34,17.45652,78.45066,,,,
2024-05-22T15:04:58+05:30,39,10987,42.44,940.85156,2609,337,33,17.45652,78.45066,,,,
2024-05-22T15:17:12+05:30,40,17989,35.98,942.92639,1135,149,38,17.42331,78.46043,,,,
2024-05-22T15:17:27+05:30,41,16890,36.23,943.05115,1693,178,37,17.42253,78.46235,,,,
2024-05-22T15:17:56+05:30,42,15009,36.89,943.03558,2155,227,38,17.42209,78.46191,,,,
2024-05-22T15:18:11+05:30,43,15803,37.09,942.56757,2030,214,34,17.42209,78.46191,,,,
2024-05-22T15:18:26+05:30,44,16389,36.65,942.56757,1692,178,37,17.42007,78.4624,,,,
2024-05-22T15:18:42+05:30,45,16292,36.85,942.98877,1374,144,37,17.4197,78.46202,,,,
2024-05-22T15:27:32+05:30,46,16292,40.63,942.98877,1374,144,37,17.40372,78.4653,,,,
2024-05-22T15:27:47+05:30,47,10367,40.53,943.25397,2917,285,35,17.40346,78.46522,,,,
2024-05-22T15:28:16+05:30,48,12605,39.42,943.05115,3309,319,34,17.40324,78.46873,,,,
2024-05-22T15:28:31+05:30,49,14593,38.48,943.68298,2643,252,36,17.40256,78.46803,,,,
2024-05-22T15:28:47+05:30,50,9858,38.91,943.82336,1886,180,38,17.40256,78.46803,,,,
2024-05-22T15:29:02+05:30,51,11165,39.52,943.82336,3157,298,39,17.40166,78.47003,,,,
2024-05-22T15:29:17+05:30,52,12330,38.94,943.86237,2373,223,35,17.40172,78.47007,,,,
2024-05-22T15:30:32+05:30,53,17219,35.29,943.2774,1651,152,38,17.39845,78.47244,,,,
2024-05-22T15:30:47+05:30,54,17367,36.76,943.09796,1344,127,40,17.39803,78.47383,,,,
2024-05-22T15:31:02+05:30,55,16877,38.32,943.2384,1102,104,37,17.39995,78.47482,,,,
2024-05-22T15:31:31+05:30,56,16474,41.61,943.17596,896,85,37,17.39844,78.47463,,,,
2024-05-22T15:31:46+05:30,57,16044,40.33,942.92639,1210,114,33,17.39768,78.47537,,,,
2024-05-22T15:32:01+05:30,58,17179,39.03,942.84839,780,74,36,17.39897,78.47477,,,,
2024-05-22T15:32:17+05:30,59,16749,38.93,942.90295,821,78,36,17.39621,78.47539,,,,
2024-05-22T15:32:32+05:30,60,18167,38.23,943.41779,598,48,37,17.39451,78.47601,,,,
2024-05-22T15:33:01+05:30,61,14979,39.84,943.95599,658,62,40,17.39362,78.476,,,,
2024-05-22T15:33:16+05:30,62,16150,39.82,944.01056,1158,84,38,17.39282,78.47619,,,,
2024-05-22T15:33:31+05:30,63,14574,40.02,943.9248,882,84,37,17.39164,78.47609,,,,
2024-05-22T15:33:47+05:30,64,13905,40.15,943.95599,966,92,36,17.39164,78.47609,,,,
2024-05-22T15:34:16+05:30,65,15725,40.13,944.19,904,86,36,17.38995,78.47633,,,,
2024-05-22T15:34:31+05:30,66,15164,40.45,944.27576,716,81,37,17.3893,78.47636,,,,
2024-05-22T15:34:46+05:30,67,13732,40.59,944.39276,851,82,36,17.3893,78.47636,,,,
2024-05-22T15:35:01+05:30,68,14218,41.66,944.42395,859,82,36,17.38855,78.47671,,,,
2024-05-22T15:35:16+05:30,69,14218,41.59,944.48639,1486,141,35,17.38817,78.477,,,,
2024-05-22T15:35:32+05:30,70,15580,40.55,944.6424,1098,104,36,17.38743,78.47746,,,,
2024-05-22T15:36:01+05:30,71,16413,39.8,945.14935,721,69,37,17.38673,78.47817,,,,
2024-05-22T15:36:16+05:30,72,16413,39.88,945.28979,522,30,37,17.38619,78.47894,,,,
2024-05-22T15:36:32+05:30,73,16877,41.42,945.3678,520,29,37,17.38584,78.47943,,,,
2024-05-22T15:36:47+05:30,74,13286,41.24,945.39117,915,87,36,17.38584,78.47943,,,,
2024-05-22T15:37:02+05:30,75,14356,40.54,945.39117,1092,104,35,17.38567,78.48003,,,,
2024-05-22T15:37:31+05:30,76,14710,39.76,945.41455,1087,103,36,17.38535,78.4821,,,,
2024-05-22T15:37:47+05:30,77,15669,40.27,945.50037,691,66,36,17.38535,78.4821,,,,
2024-05-22T15:38:02+05:30,78,16021,39.84,945.43799,704,67,34,17.38527,78.48247,,,,
2024-05-22T15:38:31+05:30,79,17086,37.35,945.46136,608,50,31,17.38533,78.48263,,,,
2024-05-22T15:38:46+05:30,80,18317,36.53,945.46136,542,35,31,17.38533,78.48263,,,,
2024-05-22T16:15:09+05:30,81,17715,31.67,944.27576,1756,245,27,17.39046,78.47002,,,,
2024-05-22T16:17:52+05:30,82,0,37.13,944.034,0,0,40,17.3934,78.47018,,,,
